category,manufacturer,model,price,weight,size,batteryLife,maxRuntime,tags,handType,dof,payload,speed,terrain,ipRating,ageRange,website,image,video,gallery,description,releaseDate
companion,Yukai Engineering,BOCCO emo,~240 USD,,small,,,companion;communication;consumer;ai-powered,none,,,,,,,https://www.bocco.me/en/,images/companion/yukai-engineering-bocco-emo.webp,,,"Family communication robot reading messages aloud with watch-over sensors, no camera.",2020
companion,Emotix,Miko Mini,~165 USD,,115x137x165 mm,180 min,,consumer;companion;educational;ai-powered;kids,,,,,,,5-10,https://in.miko.ai/products/miko-mini,images/companion/emotix-miko-mini.webp,,,Affordable Indian AI companion robot for kids with STEAM games and parental controls.,2025
companion,Obodroid,KAITOMM,Not disclosed,,,,,companion;ai-powered;commercial;service;voice-assistant,none,,,,,,,https://www.obodroid.com/,images/companion/obodroid-kaitomm.webp,,,Thai voice-controlled companion assistant robot speaking Thai and English.,2020
companion,SenseRobot,SenseRobot Chess,~712 USD,Not disclosed,medium,,,ai-powered;educational;companion;chess;consumer;robotic-arm,gripper,,,,,,,https://www.senserobotchess.com/,images/companion/senserobot-senserobot-chess.webp,,,AI chess-playing robot arm with 26-level adaptive opponent for home,2024
companion,NUWA Robotics,Kebbi Air,~5000 USD,Not disclosed,medium,,,companion;educational;ai-powered;commercial;voice-control;facial-recognition,none,12,,,,,,https://www.nuwarobotics.com/en/product/,images/companion/nuwa-robotics-kebbi-air.webp,,,"Expressive AI companion robot for education, healthcare and retail service",2021
companion,X-Origin AI,Yonbo X1,~799 USD,,,,,companion;educational;ai-powered;programmable;consumer,,,,,,,5+,https://yonbo.ai/products/yonbo-x1,images/companion/x-origin-ai-yonbo-x1.webp,,,Multimodal ChatGPT-powered family companion robot with 5MP vision and 600+ expressions.,2025
companion,HachiBot,TieWangWang,Not disclosed,Not disclosed,medium,,,consumer;companion;pet;ai-powered,none,,,,,,,https://hachibot.com/,images/companion/hachibot-tiewangwang.webp,,,Beijing startup's autonomous home companion robot dog with emotional interaction.,
companion,Pumpkii,Pumpkii Pet Camera Robot,~170 USD,Not disclosed,small,,,companion;pet;consumer;camera;treat-dispenser;app-control;ai-powered,none,,,,,,,https://pumpkii.com/,images/companion/pumpkii-pumpkii-pet-camera-robot.webp,,,"Mobile pet camera robot with treat dispenser, laser toy and self-charging.",2020
companion,VARRAM,Pet Fitness Robot,~99 USD,Not disclosed,small,,600 min,companion;pet;consumer;treat-dispenser;app-control;ai-powered;fitness,none,,,,,,,https://www.varram.com/,images/companion/varram-pet-fitness-robot.webp,,,Korean cylindrical pet robot that drives around tossing treats to engage pets.,2018
companion,Tuya Smart,Aura,Not disclosed,Not disclosed,small,,,companion;pet;consumer;camera;treat-dispenser;ai-powered;autonomous-nav,none,,,,,,,https://www.tuya.com/news-details/tuya-smart-launches-aura-an-ai-companion-robot-designed-for-pets-Kf9m2gpnsxudc,images/companion/tuya-smart-aura.webp,,,"Autonomous AI pet companion with laser play, feeding and emotion analysis.",2026
companion,Ludens AI,Cocomo,Not disclosed,Not disclosed,small,,,companion;pet;consumer;ai-powered;emotional;warm-touch;autonomous-nav,none,10,,,,,,https://ludens.ai/,images/companion/ludens-ai-cocomo.webp,,,Wheeled warm-touch AI pet that follows owners and hums instead of speaking.,2026
companion,Ludens AI,Inu,Not disclosed,Not disclosed,small,,,companion;pet;consumer;ai-powered;emotional;desktop,none,,,,,,,https://ludens.ai/,images/companion/ludens-ai-inu.webp,,,Desktop AI pet with wagging tail and blinking single eye reacting to touch.,2026
companion,OhYou Technology,OUROBOT,~149 USD,,small,,,consumer;companion;ai-powered;emotion-recognition;voice-control;desktop,none,,,,,,,https://www.kickstarter.com/projects/ourobot/ourobot-the-smart-and-emotional-desktop-ai-companion-robot,images/companion/ohyou-technology-ourobot.webp,,,"ChatGPT desktop companion with OU-Brain emotional AI, voice mood detection and nodding.",2025
companion,InsBotics,Pophie,~299 USD,,small,,,consumer;companion;ai-powered;emotion-recognition;voice-control;wifi,none,5,,,,,,https://pophie.com/,images/companion/insbotics-pophie.webp,,,"Evolving 5-DOF AI companion with long-term memory, gaze tracking and 12 languages.",2026
companion,Gogobot,D1,~239 USD,,small,,,consumer;companion;pet;ai-powered;voice-control;app-control,none,,,,,,,https://www.kickstarter.com/projects/gogobot/gogobot-d1-ai-robot-dog-for-real-conversation,images/companion/gogobot-d1.webp,,,Camera-free AI robot dog doing tricks with ToF sensors and voice conversation.,2026
companion,Jizai,Mi-Mo,~3500 USD,,medium,,,companion;ai-powered;dev-platform;research;voice-control,none,,,,,,,https://jizai.com/,images/companion/jizai-mi-mo.webp,,,Six-legged Pixar-lamp-like general-purpose AI companion robot and developer kit.,2025
companion,LivingAI,EMO,~279 USD,,small,120 min,120 min,consumer;companion;pet;ai-powered;facial-recognition;voice-control;self-charging;wifi,none,,,,,,,https://living.ai/emo/,images/companion/livingai-emo.webp,,,"Desktop AI pet with 1000+ expressions, face/voice recognition and self-docking.",2020
companion,Macroact,Maicat,~1800 USD,1 kg,20x13x20 cm,,,consumer;companion;pet;ai-powered;facial-recognition;programmable,none,,,,,,,https://maicat.ai/,images/companion/macroact-maicat.webp,,,"Realistic robotic cat with 20 actuators, OLED eyes and personality learning.",2021
companion,Elephant Robotics,MetaCat,~159 USD,,small,,,consumer;companion;pet;ai-powered;voice-control;touch-control,none,,,,,,,https://shop.elephantrobotics.com/products/metacat,images/companion/elephant-robotics-metacat.webp,,,Realistic robotic cat that purrs and responds to touch and voice commands.,2022
companion,Mind With Heart Robotics,An'An,Not disclosed,,small,,,companion;therapeutic;ai-powered;emotion-recognition;touch-control;emotional-support,none,,,,,,,https://www.mindwithheart.ai/,images/companion/mind-with-heart-robotics-an-an.webp,,,Wool-and-sheepskin affective AI panda cub with 10+ tactile sensor suites for therapy.,2026
companion,Curio,Grok,~99 USD,,small,,,consumer;toy;companion;ai-powered;voice-control;educational;wifi,none,,,,,,3-12,https://heycurio.com/product/grok,images/companion/curio-grok.webp,,,Screen-free AI plush rocket toy voiced by Grimes with conversational voice box.,2023
companion,Curio,Grem,~99 USD,,small,,,consumer;toy;companion;ai-powered;voice-control;educational;wifi,none,,,,,,3-12,https://heycurio.com/product/grem,images/companion/curio-grem.webp,,,Cloud-connected AI plush companion toy for kids with conversational voice box.,2023
companion,FoloToy,Kumma,~99 USD,,35 cm,,,consumer;toy;companion;ai-powered;voice-control;wifi,none,,,,,,3-12,https://folotoy.com/products/teddy/,images/companion/folotoy-kumma.webp,,,GPT-4o teddy bear plush toy with removable Wi-Fi AI conversation module.,2025
companion,Misa Robotics,Misa,~299 USD,,medium,,,consumer;companion;educational;ai-powered;voice-control;home-assistant;autonomous-nav,none,,,,,,3+,https://www.heymisa.com/,images/companion/misa-robotics-misa.webp,,,"GPT-4 family social robot with 7-inch screen, wheels and home automation.",2020
companion,OLLOBOT,OlloNi,Not disclosed,,small,,,consumer;companion;pet;ai-powered;facial-recognition;emotion-recognition;app-control,none,,,,,,,https://ollobot.com/,images/companion/ollobot-olloni.webp,,,"Cyber-pet with extendable neck, digital eyes and facial-recognition emotional sensing.",2026
companion,Ling Technology,Ling!,Not disclosed,,small,,,consumer;companion;educational;ai-powered;voice-control;kids,none,,,,,,3-12,https://www.ling.com/,images/companion/ling-technology-ling.webp,,,Spatial interactive AI learning companion for children aged three to twelve.,2025
companion,Casio,Moflin Silver,~429 USD,~0.4 kg,very-small,5 hours,300 min,consumer;companion;pet;ai-powered;emotion-recognition;touch-control;therapeutic,none,,,,,,,https://www.casio.com/us/moflin/product.PE-M10SR/,images/companion/casio-moflin-silver.webp,,,Fluffy adaptive-AI pet with four million emotional profiles in silver finish.,2024
companion,WowWee,Lumi,~99 USD,,small,,,consumer;toy;companion;ai-powered;app-control;entertainment;kids,none,,,,,,6+,https://wowwee.com/lumi,images/companion/wowwee-lumi.webp,,,App-controlled companion creature robot with expressive eyes and games for kids.,2016
companion,Vstone,Robi Jr,~150 USD,,small,,,consumer;companion;toy;voice-control;entertainment,none,,,,,,,https://www.vstone.co.jp/,images/companion/vstone-robi-jr.webp,,,Compact talking desktop companion robot that chats and reacts to voices.,2015
companion,Sengled,Companion,Not disclosed,,small,,,consumer;companion;ai-powered;home-assistant;voice-control;smarthome,none,,,,,,,https://www.sengled.com/,,,,Lamp-shaped AI home companion robot with smart-home control and voice chat.,
companion,Tombot,Jennie (CES 2026),~1500 USD,,small,,,consumer;companion;therapeutic;pet;emotional-support;touch-control,none,,,,,,,https://tombot.com/jennie/,images/companion/tombot-jennie-ces-2026.webp,,,Hypoallergenic robotic Labrador puppy for dementia care launched at CES 2026.,2026
companion,Robosen,Flagship Optimus Prime,999 USD,Not disclosed,large,,,companion;programmable;consumer;ai-powered;collectible,none,,Not disclosed,Not disclosed,,,,https://us.robosen.com/products/robosen-flagship-optimus-prime,images/companion/robosen-flagship-optimus-prime.webp,,,Auto-converting Optimus Prime robot with 27 servos and voice control.,2021
companion,Robosen,Buzz Lightyear Space Ranger Alpha,649 USD,Not disclosed,large,,,companion;programmable;consumer;ai-powered;collectible,none,,Not disclosed,Not disclosed,,,,https://us.robosen.com/products/robosen-buzz-lightyear-space-ranger-alpha,images/companion/robosen-buzz-lightyear-space-ranger-alpha.webp,,,Programmable 42cm Buzz Lightyear robot with 23 servos and voice interaction.,2024
companion,Embodied,Moxie,799 USD,Not disclosed,medium,,,companion;ai-powered;consumer;educational;social,none,,Not disclosed,Not disclosed,,,5-10,https://moxierobot.com/products/ai-robot,images/companion/embodied-moxie.webp,,,GPT-powered companion robot supporting children's social-emotional learning.,2020
companion,Moorebot,Scout,179 USD,Not disclosed,small,120 min,120 min,companion;ai-powered;consumer;security;programmable,none,,Not disclosed,Not disclosed,,,,https://www.moorebot.com/products/moorebot-scout,images/companion/moorebot-scout.webp,,,Tiny AI-powered mobile camera robot with SLAM nav and Scratch coding.,2021
companion,Casio,Moflin,429 USD,150 g,10x10x12 cm,300 min,,consumer;companion;pet;ai-powered,none,,,,,,,https://www.casio.com/us/moflin/,images/companion/casio-moflin.webp,,,Furry AI pet that grows a unique personality through touch and voice.,2024
companion,Wonderful Platform,Dasom,Not disclosed,,small,,,companion;commercial;ai-powered;service;elderly-care,none,,,,,,,https://www.k-robot.co.kr/k-robot/en/view.php?idx=53694&key=%EC%9B%90%EB%8D%94%ED%92%80%ED%94%8C%EB%9E%AB%ED%8F%BC&cidx=48479&page=1,images/companion/wonderful-platform-dasom.webp,,,ChatGPT-powered senior care companion robot with screen and health monitoring.,2023
companion,Mitsubishi Heavy Industries,Wakamaru,"~$15,000 (2005)",30 kg,small,~2 h,,companion;social;assistant;ai-powered,articulated,,,1 km/h,,,,https://en.wikipedia.org/wiki/Wakamaru,images/companion/mitsubishi-heavy-industries-wakamaru.webp,,,"Pioneering yellow home companion robot (2003) from Mitsubishi Heavy Industries; ~1 m tall on a wheeled base with two arms, face/voice recognition and a 10,000-word vocabulary for household assistance.",2003
companion,NEC,PaPeRo,Not sold (research),6.5 kg,small,,,social;companion;assistant;ai-powered,none,,,,,,,https://en.wikipedia.org/wiki/PaPeRo,images/companion/nec-papero.webp,,,"NEC's PaPeRo (Partner-type Personal Robot), introduced in 2001: a 38 cm home companion with face and speech recognition, a long-running icon of Japanese personal robotics.",2001
companion,MIT,Kismet,Research project,,small,,,research;social;prototype,none,,,,,,,https://en.wikipedia.org/wiki/Kismet_(robot),images/companion/mit-kismet.webp,,,MIT's late-1990s expressive robotic head by Cynthia Breazeal; a pioneer of social robotics and affective computing that recognised and simulated emotions.,1998
companion,Jibo,Social Robot,$899 (2017),2.7 kg,small,,,social;companion;assistant;ai-powered,none,,,,,,,https://en.wikipedia.org/wiki/Jibo,,,,"Released in 2017, Jibo was billed as the first social robot for the home: a 28 cm swivelling tabletop companion with a round animated face, by Cynthia Breazeal's startup.",2017
companion,Blue Frog Robotics,Buddy Pro+,On request,8 kg,small,4-6 hours,360 min,companion;social;educational;telepresence;healthcare;commercial,none,,,0.7 m/s,Indoor flat floors,,3-99,https://www.bluefrogrobotics.com,,,,"Expressive social robot with an 8-inch screen face, deployed in classrooms and hospitals to assist sick children and elderly patients via interactive telepresence.",2022
companion,Roybi,Roybi Robot,149 USD,1.5 kg,very-small,8 hours,480 min,educational;companion;ai-powered;voice-control;facial-recognition;kids;language-learning,none,,,,Indoor tabletop,,3-8,https://roybirobot.com,,,,AI educational companion robot that teaches language and STEM subjects to early learners using interactive voice games and facial emotion detection.,2019
companion,Mayfield Robotics,Kuri,699 USD,6.4 kg,small,2 hours,120 min,companion;social;monitoring;self-charging;voice-control;app-control;legacy,none,,,,Indoor flat floors,,0-99,https://www.heykuri.com,,,,"Highly expressive, adorable domestic companion robot with a 1080p camera behind its eyes, capacitive touch sensors, and a friendly personality, retired in 2018.",2017
companion,Sony,Aibo ERS-1000,3000 USD,2.2 kg,small,2 hours,120 min,pet;companion;ai-powered;touch-control;voice-control;cellular;mapping,none,22,,,Indoor flat floors,,0-99,https://aibo.sony.com,,,,"The modern generation of Sony's robotic dog, using cloud-based AI, SLAM mapping, and capacitive touch sensors to develop a unique personality over time.",2018
companion,Groove X,LOVOT 3.0,3850 USD,4.6 kg,small,45 min,45 min,companion;emotion-recognition;facial-recognition;monitoring;touch-control;self-charging;ai-powered,none,,,,Indoor flat floors,,0-99,https://lovot.life,,,,"Third-generation emotional care robot with an upgraded NVIDIA Jetson brain, 50+ sensors, a thermography camera, and multi-layered OLED eyes for lifelike warmth.",2024
