,payload,features,purpose,specs_hands,batteryLife,ipRating,ageGroup,category,maxRuntime,model,interactionType,hands,image,specs_batteryLife,terrain,size,website,specs_weight,manufacturer,speed,connectivity,learningFocus,price,weight,specs_price,video
,,"Vacuum and mop, auto-empty, self-cleaning",,,~3 hours,,,household,,S8 Pro Ultra,,,images/household/roborock-s8-pro-ultra.webp,,,,https://us.roborock.com/,,Roborock,,,,"~1,600 USD",~4 kg,,
,,"Vacuum and mop, auto-empty, obstacle avoidance",,,~2 hours,,,household,,Roomba Combo j9+,,,images/image-not-found.webp,,,,https://www.irobot.com/,,iRobot,,,,"~1,400 USD",~3.5 kg,,
,,"Vacuum and mop, auto-empty, AI navigation",,,~3 hours,,,household,,L20 Ultra,,,images/household/dreame-l20-ultra.webp,,,,https://www.dreame.tech/,,Dreame,,,,"~1,500 USD",~4 kg,,
,,Automatic clothes folding,,,N/A (wall powered),,,household,,FoldiMate,,,images/image-not-found.webp,,,,https://foldimate.com/,,FoldiMate,,,,"~1,000 USD (estimated)",~65 kg,,
,,Automatic clothes folding and sorting,,,N/A (wall powered),,,household,,Laundroid,,,images/household/seven-dreamers-laundroid.webp,,,,https://sevendreamers.com/,,Seven Dreamers,,,,Discontinued,~100 kg,,
,,"Autonomous bread making, 10 loaves per hour",,,N/A (wall powered),,,household,,BreadBot,,,images/household/wilkinson-baking-company-breadbot.webp,,,,https://www.wilkinsonbaking.com/,,Wilkinson Baking Company,,,,"~100,000 USD",~680 kg,,
,,"Vacuum, 3D smart navigation, remote control",,,~2 hours,,,household,,Scout RX3,,,images/household/miele-scout-rx3.webp,,,,https://www.miele.com/,,Miele,,,,~800 USD,~2.8 kg,,
,,"Vacuum and mop, self-cleaning, AI navigation",,,~3 hours,,,household,,Freo,,,images/household/narwal-freo.webp,,,,https://narwal.com/,,Narwal,,,,"~1,200 USD",~4.5 kg,,
,,"Vacuum, HEPA filtration, 360° vision",,,~2 hours,,,household,,360 Vis Nav,,,images/image-not-found.webp,,,,https://www.dyson.com/,,Dyson,,,,"~1,200 USD",~2.6 kg,,
,,"Window cleaning, AI navigation, safety tethering",,,~1.5 hours,,,household,,W1 Pro,,,images/household/winbot-w1-pro.webp,,,,https://www.ecovacs.com/,,Winbot,,,,~400 USD,~2 kg,,
,,"Floor cleaning, 4-stage cleaning process",,,~1.5 hours,,,household,,Legee 7,,,images/image-not-found.webp,,,,https://www.hobot.com/,,Hobot,,,,~500 USD,~2.5 kg,,
,,"Auto-sensing, voice control, smart weighing",,,N/A (wall powered),,,household,,Smart Mixer,,,images/household/ge-profile-smart-mixer.webp,,,,https://www.geappliances.com/,,GE Profile,,,,"~1,000 USD",~10 kg,,https://www.youtube.com/embed/183ysILWQG4
,,"Vacuum, LIDAR navigation, zone cleaning",,,~2.5 hours,,,household,,D10,,,images/household/neato-d10.webp,,,,https://www.neatorobotics.com/,,Neato,,,,~800 USD,~3.7 kg,,
,,"Vacuum, bagless self-empty, HEPA filtration",,,~2 hours,,,household,,AI Ultra,,,images/household/shark-ai-ultra.webp,,,,https://www.sharkclean.com/,,Shark,,,,~600 USD,~5.9 kg,,
,,"Vacuum, twin-turbine technology, AI obstacle avoidance",,,~2.5 hours,,,household,,X8 Pro,,,images/household/eufy-x8-pro.webp,,,,https://us.eufy.com/,,Eufy,,,,~650 USD,~3.5 kg,,
,,"Vacuum and mop, auto-empty, self-cleaning mop",,,~2.5 hours,,,household,,Cube,,,images/household/yeedi-cube-2.webp,,,,https://www.yeedi.com/,,Yeedi,,,,~700 USD,~3.2 kg,,
,,"Autonomous mowing, app control",,,,,,household,,Aiper Horizon U1,,,images/household/aiper-aiper-horizon-u1.webp,,,,https://www.aiper.com/,,Aiper,,,,$999.00,,,https://www.youtube.com/embed/W__zm1a-_oU
,,"Pool surface cleaning, wireless operation",,,,,,household,,Aiper Surfer S1,,,images/household/aiper-aiper-surfer-s1.webp,,,,https://www.aiper.com/,,Aiper,,,,$599.00,,,https://www.youtube.com/embed/W__zm1a-_oU
,,Pool floor and wall cleaning,,,,,,household,,Aiper Scuba S1,,,images/household/aiper-aiper-scuba-s1.webp,,,,https://www.aiper.com/,,Aiper,,,,$799.00,,,https://www.youtube.com/embed/W__zm1a-_oU
,,"Intelligent navigation, pool interior cleaning",,,,,,household,,Bearbot AquaSense Pro,,,images/household/bearbot-bearbot-aquasense-pro-2.svg,,,,https://www.bearbot.com/,,Bearbot,,,,"$1,199.00",,,
,,"Autonomous snow clearing, GPS navigation",,,,,,household,,Yarbo Snow Blower,,,images/household/yarbo-yarbo-snow-blower.webp,,,,https://www.yarbo.com/,,Yarbo,,,,"$2,499.00",,,https://www.youtube.com/embed/8C1kjZNcKtA
,,"Autonomous mowing, multi-terrain capability",,,,,,household,,Yarbo Lawn Mower,,,images/household/yarbo-yarbo-lawn-mower.webp,,,,https://www.yarbo.com/,,Yarbo,,,,"$1,999.00",,,https://www.youtube.com/embed/8C1kjZNcKtA
,,"Autonomous leaf blowing, GPS control",,,,,,household,,Yarbo Blower,,,images/household/yarbo-yarbo-blower.webp,,,,https://www.yarbo.com/,,Yarbo,,,,"$1,499.00",,,https://www.youtube.com/embed/8C1kjZNcKtA
,,"Home cleaning, mobile app control",,,,,,household,,ORo by Gometn,,,images/image-not-found.webp,,,,https://www.gometn.com/,,Gometn,,,,$599.00,,,
,,"Smart home integration, AI monitoring",,,,,,household,,Ballie by Samsung,,,images/household/samsung-ballie-by-samsung.webp,,,,https://www.samsung.com/,,Samsung,,,,TBD,,,
,,"Home monitoring, Alexa integration, autonomous navigation",,,~2 hours,,,,,Astro,,,images/table/amazon-astro.webp,,,,https://www.amazon.com/astro,,Amazon,,,,"~1,000 USD",~9 kg,,
