category,manufacturer,model,price,weight,batteryLife,hands,website,image,ipRating,maxRuntime,payload,speed,terrain,purpose,size,features,ageGroup,interactionType,learningFocus,connectivity,video
humanoid,Ameca,Ameca,"Prototype, not for sale",~50 kg,~8 hours,Articulated fingers,https://www.engineeredarts.co.uk/ameca/,images/humanoid/ameca.webp,,,,,,,,,,,,,
humanoid,Hanson Robotics,Sophia,Not disclosed,~50 kg,~8 hours,Basic articulated hands,https://www.hansonrobotics.com/,images/humanoid/hanson-robotics-sophia-2.webp,,,,,,,,,,,,,
robodog,Anybotics,ANYmal,On request,~50 kg,~3 hours,,https://www.anybotics.com/,images/robodog/ANYmal.webp,IP65,180 min,10 kg,1.2 m/s,"Rough terrain, stairs",Industrial inspection,Medium,,,,, ,
robodog,Ghost Robotics,Vision 60,~80000 USD,~50 kg,~3 hours,,https://www.ghostrobotics.io/,images/robodog/ghost-robotics-vision-60.webp,IP67,180 min,10 kg,3.0 m/s,Extreme terrain,Security & defense,Medium,,,,, ,
robodog,Unitree,B1,~30000 USD,~50 kg,~2.5 hours,,https://www.unitree.com/,images/robodog/unitree-b1.webp,IP67,150 min,20 kg,3.5 m/s,"All terrain, stairs",Industrial & research,Large,,,,, ,
humanoid,Xiaomi,CyberOne,100000 USD,52 kg,~5 hours,Basic manipulators,https://www.mi.com/global/,images/humanoid/cyberone.webp,,,,,,,,,,,,,https://www.youtube.com/embed/I28Q9czUx2Q
humanoid,Honda,ASIMO,Discontinued (non-commercial),~54 kg,~1 hour,Advanced articulated hands,https://global.honda/innovation/robotics/ASIMO.html,images/humanoid/honda-asimo.webp,,,,,,,,,,,,,
humanoid,Fourier Intelligence,GR-1,125000 USD,~55 kg,~4.5 hours,Grippers or modular hands,https://www.intelligentfourier.com/,images/image-not-found.webp,,,,,,,,,,,,,https://www.youtube.com/embed/SHPxcRBlXN0
humanoid,Unitree,H1,"~90,000 USD",~55 kg,~6 hours,Advanced grippers,https://www.unitree.com/,images/humanoid/unitree-h1-2.webp,,,,,,,,,,,,,
table,Misty Robotics,Misty II,~3000 USD,~6 kg,~4 hours,None,https://www.mistyrobotics.com/,images/table/misty-robotics-misty-ii.webp,,240 min,,,,"Development platform, research",Small,"Programmable, sensors, facial recognition",Adults,"Voice, app, programming","Coding, AI development",Wi-Fi,
humanoid,Figure,Figure 02,130000,70 kg,~6 hours,Articulated hands,https://www.figure.ai/,images/humanoid/figure-figure-02-2.webp,,,,,,,,,,,,,https://www.youtube.com/embed/Eu5mYMavctM
humanoid,Apptronik,Apollo,50000 USD,~70 kg,~4 hours,Modular hands,https://www.apptronik.com/,images/humanoid/apptronik-apollo.svg,,,,,,,,,,,,,https://www.youtube.com/embed/uJOA5IDaL5g
humanoid,Tesla,Optimus,Prototype stage,~73 kg,~8 hours,Modular manipulators,https://www.tesla.com/,images/image-not-found.webp,,,,,,,,,,,,,
humanoid,Boston Dynamics,E-Atlas,Not disclosed,~85 kg,N/A,None,https://www.bostondynamics.com/,images/humanoid/boston-dynamics-e-atlas-2.webp,,,,,,,,,,,,,
table,Amazon,Astro,~1000 USD,~9 kg,~2 hours,None,https://www.amazon.com/,images/table/amazon-astro.webp,IP42,120 min,,,,"Home security, assistant",Small,"Object recognition, mapping, video calls",All ages,"Voice, app control",Home security,Wi-Fi,
humanoid,Boston Dynamics,Atlas,39000 USD,~90 kg,N/A,None,https://www.bostondynamics.com/,images/humanoid/boston-dynamics-atlas-2.webp,,,,,,,,,,,,,https://www.youtube.com/embed/29ECwExc-_M
humanoid,Kawasaki,Bex,On request,60 kg,4 hours,,https://www.kawasakirobotics.com/,images/humanoid/kawasaki-bex-2.webp,,,,,,,170 cm,,,,,,https://www.youtube.com/embed/l7RVQKQ7fno
humanoid,Rainbow Robotics,RB-Y1,120000 USD,131 kg,4-6 hours,,https://www.rainbowrobotics.com/rby1eng,images/humanoid/rainbow-robotics-rb-y1-2.webp,,,,,,,160 cm,,,,,,https://www.youtube.com/embed/x2MeEk_Jr3s
humanoid,1X Technologies,NEO Gamma,75000 USD,35 kg,3-4 hours,,https://www.1x.tech/,images/humanoid/1x-technologies-neo-gamma-2.webp,,,,,,,,,,,,,https://www.youtube.com/embed/uVcBa6NXAbk
humanoid,UBTECH,Walker S1,75000 USD,77 kg,4 hours,,https://www.ubtrobot.com/en/humanoid/products/WalkerS1,images/humanoid/ubtech-walker-s1.webp,,,,,,,,,,,,,https://www.youtube.com/embed/qlV9EWPe91o
humanoid,EngineAI,PM01,20000 USD,45 kg,2-3 hours,,https://en.engineai.com.cn/,images/image-not-found.webp,,,,,,,,,,,,,https://www.youtube.com/embed/N_ALMlOipCI
humanoid,MenteeBot,MenteeBot V3,35000 USD,50 kg,3-4 hours,,https://www.menteebot.com/bot/,images/humanoid/menteebot-menteebot-v3-2.webp,,,,,,,,,,,,,https://www.youtube.com/embed/sZPqfes6Gk8
humanoid,Mirsee Robotics,MH3,200000 USD,70 kg,5 hours,,http://www.mirsee.com,images/image-not-found.webp,,,,,,,,,,,,,https://www.youtube.com/embed/Wuu4rUYBL4Q
humanoid,Agility Robotics,A2 Max,100000 USD,85 kg,4-5 hours,,https://www.agibot.com/,images/humanoid/agility-robotics-a2-max.webp,,,10,4 km/h,,,,,,,,,
humanoid,LimX Dynamics,LimX,40000 USD,50 kg,3 hours,,https://www.limxdynamics.com/en/humanoid-robot,images/humanoid/limx-dynamics-limx.webp,,,,,,,,,,,,,
humanoid,Unitree,G1,16000 USD,35 kg,2 hours,,https://www.unitree.com/g1/,images/humanoid/unitree-g1.webp,,,,,,,,,,,,,https://www.youtube.com/embed/FuNFr7V7KFQ
humanoid,DEEP Robotics,DR01,200000 USD,80 kg,4-5 hours,,https://deeprobotics.cn/en/index/humanoid.html,images/humanoid/deep-robotics-dr01.webp,,,,,,,,,,,,,https://www.youtube.com/embed/lCFyfh3mLOQ
humanoid,MenteeBot,MenteeBot ,35000 USD,50 kg,3-4 hours,,https://www.menteebot.com/bot/,images/humanoid/menteebot-menteebot-2.webp,,,,,,,,,,,,,https://www.youtube.com/embed/cWZLHmswL5E
humanoid,Clone Robotics,Clone Alpha,100000 USD,60 kg,3-4 hours,,https://www.clonerobotics.com/,images/humanoid/clone-robotics-clone-alpha.webp,,,,,,,,,,,,,https://www.youtube.com/embed/C6u08rIa8o4
humanoid,AEIBOT,A2,100000 USD,60 kg,4 hours,,https://www.aeibot.com/,images/image-not-found.webp,,,,,,,,,,,,,https://www.youtube.com/embed/DQHGV3hrnL0
humanoid,Pudu Robotics,Pudu D7,70000 USD,45 kg,6-8 hours,,https://www.pudurobotics.com/it/news/917,images/humanoid/pudu-robotics-pudu-d7-2.svg,,,,,,,,,,,,,https://www.youtube.com/embed/CbA9wA9etGA
humanoid,Pudu Robotics,Pudu D9,100000 USD,55 kg,8 hours,,https://www.pudurobotics.com/,images/humanoid/pudu-robotics-pudu-d9.svg,,,,,,,,,,,,,https://www.youtube.com/embed/gd5DdfJX_RM
humanoid,PNDbotics,Adam,120000 USD,60 kg,4-5 hours,,https://www.pndbotics.com/,images/image-not-found.webp,,,,,,,,,,,,,https://www.youtube.com/embed/VsC0rI0MY6o
humanoid,1XTech,NEO Beta,75000 USD,30 kg,3-4 hours,,https://www.1xt.tech/,images/image-not-found.webp,,,,,,,,,,,,,https://www.youtube.com/embed/bUrLuUxv9gE
humanoid,Galbot,Galbot,55000 USD,88 kg,4-5 hours,,https://www.galbot.com/,images/image-not-found.webp,,,,,,,,,,,,,https://www.youtube.com/embed/9ML9mOcHSQA
humanoid,EngineAI,SE01,20000 USD,80 kg,3-4 hours,,https://en.engineai.com.cn/,images/image-not-found.webp,,,,,,,,,,,,,https://www.youtube.com/embed/OiFwWHAVuJg
humanoid,ROBOTERA,Star1,120000 USD,63 kg,4-6 hours,,https://www.robotera.com/en/,images/humanoid/robotera-star1.webp,,,,,,,,,,,,,https://www.youtube.com/embed/qw2y0kceAv0
humanoid,Dobot,Atom,30000 USD,62 kg,4 hours,,https://www.dobot-robots.com/​,images/humanoid/dobot-atom.webp,,,,,,,,,,,,,https://www.youtube.com/embed/CrDyoVR2dnk
humanoid,Kepler Robotics,Kepler,85000 USD,88 kg,4-5 hours,,https://www.keplerrobotics.com/,images/image-not-found.webp,,,,,,,,,,,,,https://www.youtube.com/embed/hnqnom4KUcE
humanoid,Sancrobotics,Phoenix,40000 USD,70 kg,3-4 hours,,https://www.sancrobotics.com/,images/image-not-found.webp,,,,,,,,,,,,,https://www.youtube.com/embed/-HizP4UQvug
humanoid,XPENG,Iron,150000 USD,90 kg,5-6 hours,,https://www.pxing.com/en/product,images/image-not-found.webp,,,,,,,,,,,,,https://www.youtube.com/embed/4AOpIeNjmdc
humanoid,Matrix Robotics,Matrix-1,100000 USD,67 kg,4 hours,,https://www.matrixrobotics.ai/,images/humanoid/matrix-robotics-matrix-1.webp,,,,,,,,,,,,,https://www.youtube.com/embed/R6cO-uqxZeg
humanoid,Neura Robotics,4NE-1,200000 USD,80 kg,6 hours,,https://neura-robotics.com/en/4ne-1,images/humanoid/neura-robotics-4ne-1.webp,,,,,,,,,,,,,https://www.youtube.com/embed/RpphFszxQbM
humanoid,Supcon,Navigator 2,100000 USD,60 kg,4-5 hours,,https://www.haishu.gov.cn/art/2024/9/2/art_1229100397_58999601.html,images/humanoid/supcon-navigator-2.webp,,,,,,,,,,,,,https://www.youtube.com/embed/GrOKi9Zv9So
humanoid,Foxtech Robot,XTRON KUAVO-MY,57000 USD,55 kg,3-4 hours,,http://foxtechrobot.com/xtron-kuavo-my-bipedal-humanoid-robot-research-platform,images/image-not-found.webp,,,,,,,,,,,,,https://www.youtube.com/embed/5Xrs34IbPIQ
humanoid,Fourier Intelligence,GR-2,125000 USD,65 kg,4-5 hours,,https://www.fftai.com/products-gr2,images/humanoid/fourier-intelligence-gr-2.webp,,,,,,,,,,,,,https://www.youtube.com/embed/B-ebMigAHzQ
humanoid,Magiclab,MagicBot,50000 USD,54 kg,3 hours,,,images/image-not-found.webp,,,,,,,,,,,,,https://www.youtube.com/embed/U6FMpSIadd8
humanoid,PAL Robotics,Kangaroo,100000 USD,20 kg,2-3 hours,,https://pal-robotics.com/robot/kangaroo/x,images/humanoid/pal-robotics-kangaroo.webp,,,,,,,,,,,,,https://www.youtube.com/embed/zbw5SCA6VT0
humanoid,Paxini,ToraOne,100000 USD,55 kg,4 hours,,https://paxini.com/robot,images/humanoid/paxini-toraone.webp,,,,,,,,,,,,,https://www.youtube.com/embed/jwGz_x1xASI
humanoid,TokyoRobotics,Torobo,100000 USD,65 kg,4 hours,,https://robotics.tokyo/products/torobo/,images/humanoid/tokyorobotics-torobo.webp,,,,,,,,,,,,,https://www.youtube.com/embed/d9agnoab5h8
humanoid,Leju Robotics,Kuavo My,50000 USD,45 kg,3 hours,,https://www.lejurobot.com/en/application/kuavo-my,images/image-not-found.webp,,,,,,,,,,,,,https://www.youtube.com/embed/nXPgRbeRW2A
entertainment,Suzuki,Moqba,On request,5 kg,2 hours,,https://www.suzuki.co.jp/,images/entertainment/suzuki-moqba.webp,,,,,,,Small,,,,,,
robodog,DEEP Robotics,LYNX M20,On request,45 kg,2.5 hours,,https://deeprobotics.cn/,images/robodog/deep-robotics-lynx-m20.webp,IP67,150 min,15 kg,3.2 m/s,"All terrain, stairs",Industrial & research,Medium,,,,,,
humanoid,Naver Labs,Ambidex,100000 USD,65 kg,4 hours,,https://www.naverlabs.com/en/ambidex,images/humanoid/naver-labs-ambidex.webp,,,,,,,,,,,,,https://www.youtube.com/embed/zLhA-RWBBYU
humanoid,Booster Robotics,Booster T1,75000 USD,30 kg,3 hours,,https://www.boosterobotics.com/,images/humanoid/booster-robotics-booster-t1.svg,,,,,,,,,,,,,https://www.youtube.com/embed/euOKiro0j9U
humanoid,Jaka Robotics,Jaka K1,100000 USD,58 kg,4 hours,,https://www.jakarobotics.com/,images/image-not-found.webp,,,,,,,,,,,,,https://www.youtube.com/embed/KKwkf9EHFNo
humanoid,Pollen Robotics,Reachy 2,78000 USD,50 kg,4 hours,,https://www.pollen-robotics.com/,images/humanoid/pollen-robotics-reachy-2.webp,,,,,,,,,,,,,https://www.youtube.com/embed/T3RdwDkZA9c
humanoid,Thehumanoid.ai,HMND 01,100000 USD,70 kg,5 hours,,https://thehumanoid.ai/,images/humanoid/thehumanoid-ai-hmnd-01.webp,,,,,,,,,,,,,https://www.youtube.com/embed/x0nTOypt0zA
humanoid,Dexter Robotics,Sharpa,On request,60 kg,4 hours,,https://www.dexterrobotics.com/,images/image-not-found.webp,,,,,,,,,,,,,
humanoid,Rainbow Robotics,RB-Y1,120000 USD,131 kg,4-6 hours,,https://www.rainbow-robotics.com/,images/humanoid/rainbow-robotics-rb-y1-2.webp,,,,,,,160 cm,,,,,,
humanoid,borg,Borg 01,100000 USD,62 kg,4 hours,,https://www.borgrobotic.com/,images/humanoid/borg-borg-01.webp,,,,,,,,,,,,,https://www.youtube.com/embed/QxdAs88To90
humanoid,Tesla,Optimus Gen 2,30000 USD,56 kg,8 hours,,https://www.tesla.com/,images/image-not-found.webp,,,,,,,,,,,,,https://www.youtube.com/embed/cpraXaw7dyc
humanoid,XPENG,PX5,150000 USD,109 kg,6 hours,,https://www.xpeng.com/en/,images/humanoid/xpeng-px5.webp,,,,,,,,,,,,,
humanoid,Beijing Humanoid Robot Innovation Center,Tiangong Walker,Not disclosed,75 kg,5 hours,,http://www.bj-hirc.com/,images/image-not-found.webp,,,,,,,,,,,,,
humanoid,Sanctuary AI,Phoenix Gen 7,On request,70 kg,5 hours,Dexterous hands,https://www.sanctuary.ai/,images/humanoid/sanctuary-ai-phoenix-gen-7.webp,,,,,,,170 cm,,,,,,https://www.youtube.com/embed/VRfyZfW6R9I
robodog,Unitree,Go2,1600 USD,15 kg,2 hours,,https://www.unitree.com/,images/image-not-found.webp,IP54,120 min,5 kg,3.7 m/s,"All terrain, stairs",Consumer & research,Small,,,,,,
robodog,Unitree,B2,17000 USD,60 kg,3 hours,,https://www.unitree.com/,images/image-not-found.webp,IP67,180 min,40 kg,6 m/s,"Extreme terrain, stairs",Industrial,Large,,,,,,
humanoid,Agibot,Raise A1,On request,55 kg,4 hours,Articulated hands,https://www.agibot.com/,images/humanoid/agibot-raise-a1.webp,,,,,,,165 cm,,,,,,
vacuum,Roborock,S8 MaxV Ultra,1800 USD,4.2 kg,3 hours,"Vacuum and mop, auto-empty, self-washing, AI obstacle avoidance",https://us.roborock.com/,images/vacuum/roborock-s8-maxv-ultra.webp,,180 min,,,,,,,,,,,
vacuum,Dreame,X40 Ultra,1900 USD,4.5 kg,3.5 hours,"Vacuum and mop, auto-empty, extendable mop, AI navigation",https://www.dreame.tech/,images/vacuum/dreame-x40-ultra-2.webp,,210 min,,,,,,,,,,,
vacuum,Ecovacs,Deebot T30 Omni,1100 USD,4 kg,3 hours,"Vacuum and mop, auto-empty, hot water mop washing",https://www.ecovacs.com/,images/vacuum/ecovacs-deebot-t30-omni.webp,,180 min,,,,,,,,,,,
vacuum,Narwal,Freo X Ultra,1400 USD,4.8 kg,3 hours,"Vacuum and mop, self-cleaning, compression tech, AI navigation",https://narwal.com/,images/vacuum/narwal-freo-x-ultra.webp,,180 min,,,,,,,,,,,
educational,DJI,RoboMaster S1,550 USD,3.3 kg,2.5 hours,"Educational combat robot, programmable",https://www.dji.com/robomaster-s1,images/image-not-found.webp,,150 min,,,,,Small,"Programmable, AI recognition, FPV camera",12+,"Programming, app control","Coding, robotics, AI",Wi-Fi,
educational,Sphero,RVR+,300 USD,2.1 kg,4 hours,"Programmable, all-terrain, expandable",https://sphero.com/,images/educational/sphero-rvr.webp,,240 min,,,,,Small,"Programmable, modular, sensors",8+,"Programming, app control","Coding, engineering",Bluetooth,
entertainment,Unitree,Go2-EDU,3000 USD,15 kg,2 hours,Educational robot dog with SDK,https://www.unitree.com/,images/entertainment/unitree-go2-edu.webp,IP54,120 min,5 kg,3.7 m/s,All terrain,Education & research,Small,"Programmable, AI, sensors",16+,"Programming, research","Robotics, AI, motion control",Wi-Fi,
household,iRobot,Roomba j7+,800 USD,3.4 kg,1.75 hours,"Smart mapping, obstacle avoidance, auto-empty",https://www.irobot.com/,images/image-not-found.webp,,105 min,,,,,,,,,,,
household,Samsung,Bespoke Jet Bot Combo,1300 USD,4.8 kg,2 hours,"Vacuum and mop, AI navigation, self-emptying",https://www.samsung.com/,images/household/samsung-bespoke-jet-bot-combo.webp,,120 min,,,,,,,,,,,
humanoid,Unitree,H1.2,120000 USD,65 kg,6 hours,Advanced grippers,https://www.unitree.com/,images/humanoid/unitree-h1-2-2.webp,,,,,,,180 cm,,,,,,
humanoid,Fourier Intelligence,GR-2 Duo,200000 USD,80 kg,5 hours,Dual dexterous hands,https://www.fftai.com/,images/humanoid/fourier-intelligence-gr-2-duo.webp,,,,,,,175 cm,,,,,,
humanoid,Tesla,Optimus Gen 3,On request,60 kg,8 hours,Articulated hands,https://www.tesla.com/,images/image-not-found.webp,,,,,,,175 cm,,,,,,
robodog,Boston Dynamics,Spot Enterprise,95000 USD,32.5 kg,90 min,,https://www.bostondynamics.com/,images/image-not-found.webp,IP54,90 min,14 kg,1.6 m/s,"All terrain, stairs",Industrial inspection,Medium,,,,,,
table,Amazon,Astro for Business,2350 USD,9.5 kg,2 hours,None,https://www.amazon.com/,images/image-not-found.webp,IP42,120 min,,,,"Business security, patrol",Small,"Ring integration, autonomous patrol, object detection",Business,"Voice, app control",Security monitoring,Wi-Fi,
humanoid,SoftBank Robotics,Pepper,~20000 USD,28 kg,12 hours,Basic grippers,https://www.softbankrobotics.com/,images/humanoid/softbank-robotics-pepper.webp,,,,,,,120 cm,"Emotion recognition, touch sensors, voice interaction",All ages,"Voice, touch, visual","Customer service, education",Wi-Fi,https://www.youtube.com/embed/SL95xN7uj3M
humanoid,SoftBank Robotics,NAO,~9000 USD,5.5 kg,90 min,Articulated hands,https://www.softbankrobotics.com/,images/humanoid/softbank-robotics-nao.webp,,,,,,,58 cm,"25 degrees of freedom, voice recognition, vision",8+,"Voice, touch, programming","STEM education, research",Wi-Fi,https://www.youtube.com/embed/nNbj2G3GmAo
vacuum,iRobot,Roomba s9+,~1100 USD,~4 kg,120 min,None,https://www.irobot.com/,images/image-not-found.webp,,120 min,,,,Vacuum cleaning,Small,"Smart mapping, auto-empty, edge cleaning",All ages,App control,Home cleaning,Wi-Fi,
vacuum,Roborock,Q Revo,~900 USD,~4.5 kg,180 min,None,https://www.roborock.com/,images/vacuum/roborock-q-revo.webp,,180 min,,,,Vacuum and mop,Small,"Auto mop washing, obstacle avoidance",All ages,App control,Home cleaning,Wi-Fi,
educational,Anki,Cozmo,~180 USD (discontinued),~0.3 kg,~30 min,Forklift,https://www.digitaldreamlabs.com/,images/image-not-found.webp,,30 min,,,,Educational toy,Very small,"Facial recognition, games, coding",6+,App programming,"Coding, play",Bluetooth,https://www.youtube.com/embed/IRQ7IQ1DqtU
household,iRobot,Roomba Combo j7+,~1000 USD,~3.4 kg,120 min,None,https://www.irobot.com/,images/image-not-found.webp,,120 min,,,,Vacuum and mop,Small,"Obstacle avoidance, auto-empty",All ages,App control,Home cleaning,Wi-Fi,
household,Ecovacs,Deebot X1 Omni,~1500 USD,~4.6 kg,260 min,None,https://www.ecovacs.com/,images/household/ecovacs-deebot-x1-omni.webp,,260 min,,,,Vacuum and mop,Small,"AIVI 3D, voice assistant, auto-empty",All ages,"Voice, app control",Home cleaning,Wi-Fi,
robodog,Unitree,Go2 Pro,~2700 USD,15 kg,2 hours,,https://www.unitree.com/,images/image-not-found.webp,IP54,120 min,5 kg,4.0 m/s,All terrain,Research & education,Small,,,,,,https://www.youtube.com/embed/R8rMlVE2z3s
entertainment,Hasbro,Furby Connect,~100 USD (discontinued),~0.8 kg,~4 hours,None,https://www.hasbro.com/,images/entertainment/hasbro-furby-connect.webp,,240 min,,,,Interactive toy,Very small,"Voice interaction, app connectivity",Children,"Voice, app","Play, interaction",Bluetooth,
entertainment,WowWee,MiP,~100 USD,~1 kg,~1 hour,Tray hands,https://wowwee.com/,images/entertainment/wowwee-mip.webp,,60 min,,,,Balancing robot toy,Small,"Self-balancing, gesture control, games",Children,"Gesture, app control","Play, balance games",Bluetooth,
educational,Sphero,Bolt,~150 USD,~0.2 kg,~2 hours,None,https://sphero.com/,images/educational/sphero-bolt.webp,,120 min,,,,Educational STEM toy,Very small,"LED matrix, compass, programmable",8+,App programming,"Coding, physics",Bluetooth,
educational,Wonder Workshop,Dot,~80 USD,~0.2 kg,~5 hours,None,https://www.makewonder.com/,images/image-not-found.webp,,300 min,,,,Educational,Very small,"Voice recognition, sensors, programmable",6+,"App programming, voice","Coding, creativity",Bluetooth,
vacuum,Eufy,RoboVac 11S,~230 USD,~2.7 kg,100 min,None,https://www.eufy.com/,images/vacuum/eufy-robovac-11s.webp,,100 min,,,,Vacuum cleaning,Small,"Slim design, quiet operation",All ages,Remote control,Home cleaning,None,https://www.youtube.com/embed/wRokyHrxUoI
vacuum,Shark,IQ Robot,~450 USD,~3 kg,90 min,None,https://www.sharkclean.com/,images/vacuum/shark-iq-robot-2.webp,,90 min,,,,Vacuum cleaning,Small,"Self-empty, home mapping",All ages,App control,Home cleaning,Wi-Fi,
household,Amazon,Ring Always Home Cam,~250 USD,~0.5 kg,~5 min,None,https://ring.com/,images/household/amazon-ring-always-home-cam.webp,,5 min,,,,Home security,Very small,Autonomous indoor drone camera,All ages,App control,Home security,Wi-Fi,
household,Enabot,EBO SE,~300 USD,~1 kg,~2 hours,None,https://www.enabot.com/,images/household/enabot-ebo-se.webp,,120 min,,,,"Home monitoring, pet companion",Small,"Auto-charging, night vision, pet interaction",All ages,App control,Home monitoring,Wi-Fi,https://www.youtube.com/embed/cyzh48XRS4M
household,Samsung,Ballie,~500 USD (estimated),~1 kg,~5 hours,,https://www.samsung.com/,images/household/samsung-ballie.webp,,,,,,,,"AI assistant, home monitoring, projector",,,,,
household,Aeolus Robotics,Aeo,"~20,000 USD (estimated)",~65 kg,~8 hours,,https://aeolusbot.com/,images/household/aeolus-robotics-aeo.webp,,,,,,,,"Dual-arm manipulation, disinfection, delivery",,,,,
